Символ,Код
oй,11111111111110111111
oл,111111111110111100000
oн,1111111111001100011
oт,11111111111101110101
oш,111111111111000001101
o…,1111111111010111111
p ,1111111101000111
"p,",11111111111001000001
pa,1111010000100
pe,1111011011011
pf,11111111111100000011
ph,11111111010011011
pi,1111111001010011
pl,111110111000001
po,1111011100110
pp,1111111010111010
pr,1111011110110
ps,11111111010011111
pt,111111111010111100
pu,111111010111111
pе,1111111111001100111
pи,111111111111111000000
pу,111111111111001011001
p…,111111111111010000001
qu,111011101011
r ,111011111001
r!,11111111000111000
r),111111111111001010100
"r,",111110111010001
r.,111111011001001
r:,1111111111100001110
r;,1111111111010001010
r?,11111111110110101001
ra,1111001100100
rb,111111111011000111
rc,1111111001001101
rd,111111001101101
re,11100000110
rf,111111111010110100
rg,1111110110100001
rh,111111111110110100001
ri,1111000000000
rl,1111111001100010
rm,111111001011100
ro,11111000100101
rp,1111111111010110000
rq,11111111011110001
rr,11111011110110
rs,11111011101001
rt,11111001111000
ru,11111100110111
rv,11111111001111010
ry,11111111111110011111
rz,111111111111111010100
r»,1111111110101010000
rе,1111111111010111110
r…,11111111111010010100
s ,1101001011
s!,11111111001110011
s',1111111001110011
s),1111111110111001000
"s,",11111000110001
s.,11111011100001
s:,1111111111000011001
s;,111111111001110101
s?,1111111011101110
sa,11111010001001
sb,11111111001111101
sc,1111111000011101
sd,111111111111011111000
se,111011111000
sf,111111111111000110001
sg,11111111111100101111
sh,111111110110000000
si,11110111000000
sk,11111111100001011
sm,111111111011111010
so,1111100001110
sp,111111100101111
sq,111111111011011010
ss,1111011010011
st,1111001111001
su,111111000000001
sw,11111111111110010001
s»,1111111110111100101
s…,11111111011110110
t ,11100000001
t!,1111111111001001101
t&,111111111111101010100
t',1111111111001111000
"t,",11111011111011
t.,111111011100011
t;,11111111111010001000
t?,111111111010100100
ta,11111010101111
te,111010101001
tg,111111111111011101000
th,1111111011001100
ti,1111011111110
tl,111111111111010010001
tm,111111111111010010101
tn,11111111110110101000
to,1111100101101
tp,111111111111101111000
tr,1111001111000
ts,111111010111000
tt,11111010011010
tu,1111111000100100
ty,11111111111000001000
tz,11111111001101100
t»,1111111111010011100
t…,11111111000011011
u ,1111011010101
u!,111111111010101100
u',111111001010000
"u,",1111111010000010
u.,11111111110110010100
u;,11111111111110001101
u?,111111111111010001000
ua,11111110111010001
ub,11111111000011001
uc,1111111000001101
ud,1111111011110101
ue,1111000010000
uf,11111111010110110
ug,111111111010111111
ui,1111011000111
uj,11111111001010011
uk,111111110110100000
ul,11111100101111
um,1111111010100010
un,1111010110000
uo,11111110110100000
up,1111111001000010
ur,111011001101
us,111011000010
ut,11111000000001
uv,11111011010111
ux,11111011111100
uz,1111111110110000001
v ,11111111111111011110
v!,111111111111100001001
va,111111001000001
vd,111111110110000001
ve,1111011100101
vi,11111011000111
vl,11111111111010011001
vo,1111000010001
vr,1111110110000001
vs,11111111111111011001
vu,111111111001110001
vе,111111111111101000101
wa,11111111111011010110
we,11111111001001001
wi,1111111100111111
wo,11111111110100000001
ws,11111111111110100101
x ,111111001100000
x!,11111111111101011111
"x,",11111111001010010
x.,111111111000011000
xa,11111111010010101
xc,11111111010011110
xe,11111111111100100101
xi,1111111111001001011
xo,111111111111101000001
xp,11111111010010111
xq,1111111111100011110
xt,1111111111010101000
y ,1111111000001100
"y,",111111111011010110
ya,111111111010000001
ye,1111111010001111
yl,111111111110111101000
ym,111111111110101110000
yo,111111110110100101
yp,111111111111000001100
yr,11111111111101110011
ys,111111111011011110
yt,1111111111100110101
y…,11111111111010010000
z ,11111000001000
"z,",111111100100011
z.,11111111110010000000
z:,111111111111000110100
za,1111111111001100100
ze,111111111010000111
zi,11111111110111011001
zo,111111111010110010
zt,11111111111110111001
zu,111111110101110001
zw,1111111111001100001
z»,111111111111111111001
z…,1111111111000001001
"«,",111111111111111010001
«2,11111111111000000000
«3,111111111111100010101
«7,11111111111110101111
«9,111111111111110000100
«A,111111111011110101
«B,11111111111111001011
«C,111111111001000000
«D,111111111010000011
«E,111111111111110001001
«I,11111111110110000100
«J,111111111010101001
«L,111111110111011001
«M,1111111111001010101
«O,11111111111110010111
«P,111111111111010110101
«Q,11111111111001000000
«S,1111111111100001011
«T,111111111010110101
«U,11111111111110001001
«V,111111111001100010
«W,111111111110110010101
«c,11111111111001101000
«d,11111111111111001111
«e,1111111111011111111
«i,11111111111100101001
«p,111111111111011101001
«А,11111110110010001
«Б,11111111001101101
«В,11111100101101
«Г,11111111000100010
«Д,1111110110010000
«Е,1111111100100011
«З,111111110100010001
«И,1111110111100101
«К,111111011110110
«Л,111111111001001001
«М,11111111010000011
«Н,11111011110011
«О,1111111011001101
«П,1111111010010101
«Р,111111111100000101
«С,1111111010011000
«Т,1111111010100101
«У,11111111000100101
«Х,111111111000101000
«Ч,111111010101110
«Ш,11111111111001110000
«Э,11111111001100010
«Я,1111111010011101
«а,1111111111010100110
«б,1111111111010000111
«в,11111111011100011
«г,111111111100111101
«д,11111111010101111
«е,1111111111000001100
«з,111111111011110011
«и,1111111110111000101
«к,111111111001010010
«л,111111111011111011
«м,11111111100010111
«н,11111111000000000
«о,1111111111001000001
«п,111111110110101000
«р,1111111111100001001
«с,11111111100000110
«т,1111111111000010100
«у,111111111010000101
«ч,1111111111010101010
«ш,11111111111100011110
«э,11111111111111010101
«я,11111111110100000000
»\r,111111010001011
» ,1111010100010
»!,11111111100010011
»),111111111111010001001
"»,",1111011101101
».,1111011110101
»;,111111111010101011
»?,111111111000100010
»…,111111111000100000
А ,111100110110
А!,11111110111000101
"А,",1111111010001101
А.,1111111110110010000
А?,1111111000000100
Аh,11111111111100111111
Аl,111111111111011100001
Аm,111111111111110111001
Аn,11111111111100000101
АС,111111110111001000
АЯ,111111111010001010
Аа,111111111111101010101
Ав,1111110111010101
Ад,1111111011101101
Аж,111111111111010000101
Аз,111111111110110110100
Ай,1111111111000110110
Ак,11111111110111010001
Ал,111110110010000
Ам,111111111000101010
Ан,1100101101
Ап,11111111001000011
Ар,111111011000001
Ас,111111111111110010000
Ат,1111111111010101001
Ау,111111001111011
Аф,111111111111100000000
Ах,1111100100101
А…,11111111110101101001
Б.,1111111111011010001
Ба,1111011001011
Бе,1111010101100
Би,111111000001101
Бл,1111111010101100
Бо,11100000111
Бр,111111011000011
Бу,111111000001001
Бы,111111010110110
В ,111011001001
В.,111111111011101001
Вo,111111111111101101001
ВА,1111111111100011001
ВЕ,111111111111110110100
ВО,11111111111010111001
ВТ,11111111111010110101
Ва,111100011100
Вб,111111111111010111001
Вв,1111111111001101010
Вд,111111100010011
Ве,111100101001
Вз,1111111100001001
Ви,11111001100010
Вл,1111111100000011
Вм,111111110101100001
Вн,111111111001100100
Во,1111001011000
Вп,111111011001101
Вр,111111110111100000
Вс,1111001110100
Вт,111111111010111010
Вх,1111111111011011001
Вч,111111111001000011
Въ,1111111111010101100
Вы,111101011111
Вя,111111111011011111
Г',111111110101110000
Г.,111111111011100001
Г`,111111111111000010000
Га,11111111011001110
Гв,1111111110110010001
Гд,1111111001111000
Ге,111111011000101
Ги,11111111111100110001
Гл,111111010010000
Гм,111111111010010100
Го,1111011010100
Гр,1111100001001
Гу,1111111000100001
Г…,11111111111110110001
Д.,11111111111100000001
Да,111011011101
Дв,111111010111010
Дг,111111111110110000001
Де,1111000100000
Ди,1111111001101001
Дл,1111111010000101
Дм,11111001010101
До,111011101101
Др,11111100100011
Ду,111111010110010
Ды,1111111111010100100
Дю,11111111011011111
Дя,11111110110001000
Дё,111111111110111101001
Е?,111111111111011000100
Еh,11111111111110100110
ЕР,1111111111000110111
ЕТ,1111111111000101101
Ев,1111111011001011
Ег,11111100010001
Ед,11111111000101011
Ее,11111111001011101
Еж,11111010111000
Ез,111111111111001001000
Ей,111111011111111
Ек,11111111011001001
Ел,11111111001111000
Ем,111111001000101
Ер,11111111010000010
Ес,1111111001001010
Ех,1111111111010010110
Ещ,111111001010001
Жа,111111111000000100
Жд,1111111111010110110
Же,111111000001000
Жи,1111111001111011
Жо,1111111111010110010
Жу,1111111111010100111
Жю,111111001011001
